AppID,Name,Genres,Categories,Tags,Rating
388750,BlazBlue: Chronophantasma Extend,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","Anime, Fighting, 2D Fighter, Action, Great Soundtrack",60
294810,BlazBlue: Continuum Shift Extend,Action,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen","Fighting, Anime, 2D Fighter, Action, Great Soundtrack",51
702890,BlazBlue: Cross Tag Battle,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","2D Fighter, Anime, Fighting, Action, Great Soundtrack",60
302710,BlazeRush,"Action, Casual, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, LAN PvP","Combat Racing, Vehicular Combat, Racing, Action, Arcade",51
585710,Blazing Beaks,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op","Pixel Graphics, Action Roguelike, Top-Down Shooter, Twin Stick Shooter, Rogue-lite",54
609110,Blazing Chrome,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op","Action, Retro, Pixel Graphics, Indie, Side Scroller",51
1158940,Blazing Sails,"Action, Adventure, Casual, Indie","Multi-player, PvP, Online PvP, Co-op, Online Co-op","Co-op, Naval Combat, Online Co-Op, Pirates, Battle Royale",74
1201240,BLEACH Brave Souls,"Action, Casual, RPG, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer","Free to Play, Anime, RPG, Multiplayer, Action",77
1689620,BLEACH Rebirth of Souls,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","Action, Anime, 3D Fighter, 3D, Swordplay",52
1173220,Bleak Faith: Forsaken,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Souls-like, Adventure, RPG, Action RPG",50
2193050,Bleak Sword DX,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action Roguelike, Hack and Slash, 2D Fighter, Arcade, Action-Adventure",38
239800,Bleed,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen","Action, Indie, Platformer, Female Protagonist, Fast-Paced",54
396350,Bleed 2,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen","Action, Indie, Shoot Em Up, Bullet Hell, Arcade",45
1189800,Bleeding Edge,Action,"Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Partial Controller Support","Action, Multiplayer, Third Person, Team-Based, PvP",42
365670,Blender,"Animation & Modeling, Design & Illustration, Video Production",,"Animation & Modeling, Software, Design & Illustration, Free to Play, Game Development",94
681660,Bless Online,"Action, Adventure, Free To Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, PvP, Online PvP","MMORPG, Massively Multiplayer, RPG, Adventure, Open World",36
1254120,Bless Unleashed,"Action, Massively Multiplayer, RPG, Free To Play","Multi-player, MMO, Steam Achievements, Full controller support, Steam Trading Cards","RPG, MMORPG, Free to Play, Open World, Multiplayer",51
1263070,Blightbound,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op","RPG, Adventure, Indie, Action, Co-op",40
1300600,Blind Drive,"Action, Indie","Single-player, Steam Achievements, Full controller support, Adjustable Difficulty, Keyboard Only Option","Action, Arcade, Immersive, Story Rich, Short",36
